City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Isangel,VU,82.51,light rain,-19.55,169.2667,Tanna Lodge
291,Bambous Virieux,MU,86.25,few clouds,-20.3428,57.7575,Casa Tia Villa
293,Sorong,ID,85.15,few clouds,-0.8833,131.25,Waigo Splash Hotel
301,Kiama,AU,84.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
303,Si Satchanalai,TH,78.58,broken clouds,17.5169,99.7598,Chanalai Resort and Hotel
309,Catamarca,AR,76.59,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
312,Poum,NC,79.66,scattered clouds,-20.2333,164.0167,Gîte kajeon
313,Sao Jose Da Coroa Grande,BR,77.59,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
321,Sabang,ID,78.35,overcast clouds,5.8933,95.3214,Hotel Citra
325,Vao,NC,75.81,light rain,-22.6667,167.4833,Hotel Kou-Bugny
327,Luba,GQ,80.28,scattered clouds,3.4568,8.5547,
331,San Pedro,PH,78.35,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
334,Kanniyakumari,IN,80.67,broken clouds,8.0833,77.5667,Sparsa
336,Esperance,AU,75.04,scattered clouds,-33.8667,121.9,Hospitality Esperance
339,Kinablangan,PH,84.25,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
340,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
359,Pitimbu,BR,79.39,light rain,-7.4706,-34.8086,Reserva do Abiaí
362,Saint-Pierre,RE,84.18,clear sky,-21.3393,55.4781,Lindsey Hôtel
363,Salinopolis,BR,79.09,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
365,Sokoni,TZ,82.45,clear sky,-6.4333,39.55,Ujamaa Beach Resort
372,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
374,Betioky,MG,75.2,few clouds,-23.7167,44.3833,Bungalows Acacias Hotel
378,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
381,Buala,SB,81.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
382,Dingle,PH,86.14,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
392,Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
396,Kirakira,SB,78.91,light rain,-10.4544,161.9205,SanBiz Lodge
397,Santa Cruz,BO,76.46,light rain,-17.8,-63.1667,Aviador Hotel Boutique
403,Calabozo,VE,76.46,scattered clouds,8.9242,-67.4293,Hotel Giardini
