City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Coquimbo,CL,-29.9533,-71.3436,58.73,94,40,10.36,scattered clouds
79,Hargeysa,SO,9.56,44.065,60.85,81,73,11.39,broken clouds
80,Alugan,PH,12.2188,125.4808,81.77,85,96,10.13,overcast clouds
81,Carnarvon,AU,-24.8667,113.6333,82.47,54,0,23.02,clear sky
82,Port Pirie,AU,-33.1833,138.0167,71.69,48,79,21.03,broken clouds
83,Turukhansk,RU,65.8167,87.9833,-35.9,92,23,3.31,few clouds
84,Mandalgovi,MN,45.7625,106.2708,19.98,53,5,12.86,clear sky
85,Prince Rupert,CA,54.3161,-130.3201,22.93,75,3,6.38,clear sky
86,Orlik,RU,52.5178,99.825,14.4,79,72,11.7,broken clouds
87,Bethel,US,41.3712,-73.414,44.11,91,90,0.0,mist
88,Arraial Do Cabo,BR,-22.9661,-42.0278,73.29,74,23,8.79,few clouds
89,Luwuk,ID,-0.9516,122.7875,86.4,70,86,1.92,overcast clouds
90,Geraldton,AU,-28.7667,114.6,81.01,47,0,17.27,clear sky
91,Qasigiannguit,GL,68.8193,-51.1922,37.65,55,74,26.4,broken clouds
92,Whitehorse,CA,60.7161,-135.0538,-0.02,98,97,1.63,overcast clouds
93,Tiksi,RU,71.6872,128.8694,-22.59,100,100,5.68,overcast clouds
94,Porto Belo,BR,-27.1578,-48.5531,71.58,79,100,8.5,overcast clouds
95,Punta Arenas,CL,-53.15,-70.9167,51.91,71,75,28.77,broken clouds
96,Benguela,AO,-12.5763,13.4055,74.66,84,100,0.74,overcast clouds
97,Victoria,HK,22.2855,114.1577,66.96,44,99,9.1,overcast clouds
98,Eyl,SO,7.9803,49.8164,79.23,66,79,17.43,broken clouds
99,Batavia,US,41.85,-88.3126,31.98,69,90,1.01,overcast clouds
100,Castro,BR,-24.7911,-50.0119,60.69,88,89,8.72,overcast clouds
101,Ponta Do Sol,PT,32.6667,-17.1,66.83,86,81,18.1,broken clouds
102,Kiunga,PG,-6.1219,141.2906,89.49,56,84,1.07,broken clouds
103,Nathdwara,IN,24.9333,73.8167,58.1,24,0,4.18,clear sky
104,Mareeba,AU,-17.0,145.4333,89.44,58,52,8.72,broken clouds
105,Airai,TL,-8.9266,125.4092,73.8,66,95,0.45,overcast clouds
106,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,14.16,snow
107,Hasaki,JP,35.7333,140.8333,48.6,43,21,12.26,few clouds
