City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Miguelito,PA,2021-12-18 05:57:02,9.0333,-79.5,81.55,88,20,3.0
68,Talnakh,RU,2021-12-18 05:57:02,69.4865,88.3972,-32.84,94,29,3.47
69,Mahebourg,MU,2021-12-18 05:57:02,-20.4081,57.7,83.25,69,40,11.5
70,Moroto,UG,2021-12-18 05:57:03,2.5345,34.6666,76.05,42,62,5.7
71,Arraial Do Cabo,BR,2021-12-18 05:53:22,-22.9661,-42.0278,74.66,88,77,10.94
72,Broome,US,2021-12-18 05:57:03,42.2506,-75.833,36.18,72,100,3.0
73,Vila Velha,BR,2021-12-18 05:57:03,-20.3297,-40.2925,75.94,92,0,2.3
74,Faanui,PF,2021-12-18 05:57:04,-16.4833,-151.75,81.28,69,26,14.2
75,Uige,AO,2021-12-18 05:57:04,-7.6087,15.0613,67.77,94,92,1.43
76,Khromtau,KZ,2021-12-18 05:57:04,50.2503,58.4347,24.21,91,99,7.63
77,West Bay,KY,2021-12-18 05:57:05,19.3667,-81.4167,80.01,85,32,3.0
78,Saint George,US,2021-12-18 05:57:05,37.1041,-113.5841,37.87,68,2,3.0
79,Manjacaze,MZ,2021-12-18 05:57:05,-24.7117,33.8828,70.9,66,100,12.84
80,Khatanga,RU,2021-12-18 05:57:06,71.9667,102.5,-40.14,100,65,4.12
81,Lebu,CL,2021-12-18 05:57:06,-37.6167,-73.65,53.01,92,7,9.51
82,Atuona,PF,2021-12-18 05:57:06,-9.8,-139.0333,78.08,72,9,9.31
83,Alofi,NU,2021-12-18 05:57:07,-19.0595,-169.9187,82.29,78,31,8.05
84,Ribeira Grande,PT,2021-12-18 05:57:07,38.5167,-28.7,59.5,50,99,8.97
85,El Alto,PE,2021-12-18 05:57:07,-4.2714,-81.2147,67.96,81,72,13.69
86,Tecoanapa,MX,2021-12-18 05:57:08,16.5167,-98.75,75.52,82,51,4.34
87,Grindavik,IS,2021-12-18 05:57:08,63.8424,-22.4338,44.55,100,90,5.75
88,Kaeo,NZ,2021-12-18 05:57:08,-35.1,173.7833,71.33,53,1,8.77
89,Atambua,ID,2021-12-18 05:57:09,-9.1061,124.8925,85.26,65,45,3.94
90,Qaanaaq,GL,2021-12-18 05:57:09,77.484,-69.3632,-12.28,80,57,7.47
91,Kismayo,SO,2021-12-18 05:57:09,-0.3582,42.5454,84.27,67,96,11.27
92,Nouadhibou,MR,2021-12-18 05:58:10,20.931,-17.0347,63.32,74,37,8.79
93,Wyszkow,PL,2021-12-18 05:58:10,52.5928,21.4584,37.17,96,49,7.36
94,Mola Di Bari,IT,2021-12-18 05:58:10,41.0609,17.0873,51.91,42,23,24.96
95,Cidreira,BR,2021-12-18 05:58:11,-30.1811,-50.2056,70.29,79,79,13.09
96,Torbay,CA,2021-12-18 05:58:11,47.6666,-52.7314,36.75,95,90,33.38
97,Kalabo,ZM,2021-12-18 05:58:11,-14.97,22.6814,67.17,92,100,2.46
98,Masuda,JP,2021-12-18 05:58:11,34.6667,131.85,46.35,52,75,14.97
99,Desaguadero,PE,2021-12-18 05:58:12,-16.5656,-69.0417,44.71,82,100,8.32
100,Victoria,HK,2021-12-18 05:56:32,22.2855,114.1577,73.18,59,100,3.0
101,Butaritari,KI,2021-12-18 05:58:12,3.0707,172.7902,82.4,78,71,18.63
102,Kahului,US,2021-12-18 05:58:13,20.8947,-156.47,70.97,94,15,7.36
103,Goderich,CA,2021-12-18 05:58:13,43.7501,-81.7165,32.92,74,100,2.3
